AP1,AP2,x,y
-45.0,-50.0,4.75,1.9
-45.0,-50.0,3.3205864429473877,6.654324531555176
-46.56319046020508,-49.549232482910156,3.950148820877075,5.716496467590332
-47.0,-37.0,1.5,8.2
-47.0,-37.0,1.8702195882797241,7.615992069244385
-46.09846496582031,-40.126380920410156,2.4718124866485596,7.45790958404541
-43.0,-39.0,0.5,4.6
-43.0,-39.0,1.2470158338546753,5.7225141525268555
-42.63938522338867,-40.250553131103516,1.1153620481491089,6.009956359863281
-41.0,-55.0,2.5,3.7
-41.0,-55.0,1.7474185228347778,3.6666622161865234
-45.37693405151367,-53.737850189208984,3.46028995513916,3.690366506576538
-43.0,-57.0,3.0,6.4
-43.0,-57.0,2.599949836730957,4.800939083099365
-47.37693405151367,-55.737850189208984,4.35343599319458,3.3537912368774414
-32.0,-47.0,2.5,2.8
-32.0,-47.0,1.5773909091949463,2.1057519912719727
-36.689571380615234,-45.64769744873047,0.3936111629009247,2.624289035797119
-56.0,-31.0,2.5,9.1
-56.0,-31.0,2.078305959701538,8.7819242477417
-53.74616241455078,-38.81595230102539,2.2298240661621094,7.357588291168213
