AP1,AP2,AP1_attack,AP2_attack,layers1,layers2,error,error_adv
-45.0,-40.0,-44.809043884277344,-42.320552825927734,6,2,1.3000161828256167,3.4292048506527646
-56.0,-31.0,-55.04521942138672,-42.6027717590332,6,2,0.6608452518308711,4.159892548355956
-47.0,-43.0,-46.84723663330078,-44.8564453125,3,5,1.2779669223508923,1.0109842379399756
-45.0,-46.0,-45.464111328125,-45.96180725097656,4,5,1.3363266749333722,1.1684662413755624
-44.0,-27.0,-43.35074996948242,-34.88988494873047,5,2,0.2226625665755663,1.8805639992312313
-44.0,-27.0,-43.35074996948242,-34.88988494873047,6,1,0.6980485194025092,2.751242389596516
-65.0,-48.0,-64.35074615478516,-55.88988494873047,4,5,8.559075434998595e-06,2.50944128762843
-46.0,-38.0,-45.6944694519043,-41.712886810302734,6,2,1.1108572410303281,3.2901342603140655
-42.0,-55.0,-48.033443450927734,-54.50351333618164,2,5,0.7004645954287863,3.042462347341584
-50.0,-22.0,-48.93064498901367,-34.9951057434082,6,1,0.3432591078082124,3.9032862412729394
