AP1,AP2,X,Y
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,7.3
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-41.0,-27.0,-0.8,8.2
-46.0,-23.0,-0.8,8.2
-46.0,-37.0,-0.8,8.2
-42.0,-22.0,-0.8,8.2
-50.0,-22.0,-0.8,8.2
-50.0,-22.0,-0.8,8.2
-50.0,-22.0,-0.8,8.2
-50.0,-22.0,-0.8,8.2
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-50.0,-22.0,-0.8,9.1
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,1.9
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-41.0,-43.0,0.5,2.8
-36.0,-38.0,0.5,2.8
-37.0,-40.0,0.5,2.8
-40.0,-38.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-42.0,0.5,2.8
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-49.0,0.5,3.7
-40.0,-46.0,0.5,3.7
-40.0,-47.0,0.5,3.7
-40.0,-47.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
-45.0,-46.0,0.5,3.7
